source,target,value,count,step
other0,391PeuMPRpDDLa9V4c5Dkfjh5SnqXdWiEc,4340400,1,1
other0,other1,24648216,32,1
other0,12ALaeUSaRiyfuSqopRYAtyjfRgFQDSuuU,96362471,1,1
other0,3BMnmKwFPEGti15DHxpHdz1tfBgCLtzqLN,182394398,1,1
other0,1HFGiMJwrofzsXtR9sMzNRAyC6hYMCqSt,10677768112,1,1
other0,1ExKx5cf2a6HzA5Cg6bQdKvZfjJGtqv9XY,9433896769,1,1
other0,1Q5WczGjPUdmiGQJCBL1M6jTzsRGWnAp6x,9243390963,1,1
other0,other1,92536551727,32,1
other0,1Gercs6ceUPXsKzpJDjcdVb62rVminMnFo,800000000,1,1
other0,1M9bgxpDBhVqcMg9Nu6HjEw4LxG47smsui,324678600,1,1
other0,1NRKaTrA4T87xviK9qdmx5giFRtiF7AXdB,100000000,1,1
other0,other1,244543160,44,1
other0,1HYHtimhmf7rP2HpGLKm6h9yrkRpafQMmu,199859663,1,1
other0,1MAnqdLcojFjckLGahRsrqx5naPKph1EM4,92184419,1,1
other0,1FoC692njcyrKXeM5Po8a6rgzCXT6Ragcp,38763393,1,1
other0,other1,10082251,2,1
other0,1DwpbWG1Bs7ps1D8WyWyG4tgeir4ACTv3H,8149707,1,1
other0,bc1qx65xcxz6dfsge2g4eaerercslh83y66wrpm79r,380109729,6,1
other0,1ABb9TRH8kriLmH64thbigrcBGkFKKWpeQ,4644000,1,1
other0,1PRb1uNPyLfYHN8P8SGRPiuWTE4eSLBiXE,1829275,1,1
other0,other1,4122499,4,1
other0,15Fs9fPpqVAhcb8VmhCE3MZMhLKKyRoreY,2233488,1,1
other0,154rZ9Dcwfk5RvX3eR56ysKDV5tcGUNAgJ,209999322,1,1
other0,1KxnMndHSFNA6UMsHZcryVFuu5VbtvkhxM,99987344,1,1
other0,1GA2jDLqFA3k3DUN6nrmQ6QXwfEXMrWxVq,98978982,1,1
other0,other1,214448244,33,1
other0,3BMnmKwFPEGti15DHxpHdz1tfBgCLtzqLN,182394398,1,1
other0,3Jh8cmjBoEumVhQGVQtT5hcPgPpCDio54b,297429879,1,1
other0,1DognYdT6aaHWtBdzLMQnv4T6pnwWyFg65,214713900,1,1
other0,1EaYRTcN5DZieZU1D3zLjpBDkHP7PaCKQU,133706900,1,1
other0,other1,266323516,20,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,60148184518,13,1
other0,39AD68z9muiFUiZdq3VmnaomQW1kSeUt2n,99951600,1,1
other0,1FDmcqGrpADRfzTzdWpsaQZDYqHP4vvayU,49900000,1,1
other0,other1,25692801,14,1
other0,13p1mRA7a31d72wvT3d7QkEzFbTRQ2cmt4,3524556,1,1
other0,1DBTYSsMHQ55n6NBar7xSMRo6NxuMs2MG6,8690185,1,1
other0,3GiUgJPhxZBeNNa92dBQcZrLahciREEq9H,16429600,1,1
other0,bc1qfmlxeemyk8a9stz5z4plpqgj4255hcx9jsqvyj,3624056,1,1
other0,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,473586543,1,1
149ySYp8UyBaU5NaNu94fZuY8W5pckczAZ,3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV,137179366078,25,1
149ySYp8UyBaU5NaNu94fZuY8W5pckczAZ,1Lets1xxxx1use1xxxxxxxxxxxy2EaMkJ,547,1,1
other0,34C6zsZn9YpJvN3MfS6bB79xDt3Cq9nAn9,2141043418,1,1
other0,3LW1sakL8ihE2nApkncTUYpLBi3cm8uxaS,1500000000,1,1
other0,3E8BTrBB7jxAemyUqSnN4YFLMC22cShZJZ,1500000000,1,1
other0,other1,455852377,8,1
37tmuZZgBZFNj3bege1fawknvc7SLZmfme,3MfMXB19tka5zJFWk9zdx7F79TQ6HWFRqe,1043753,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,2139950000,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,1BvXQCpUC4NADf9oWvnQqedzx7TnY21dot,494108079,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,bc1qc693krdlq7rdd9exa92hwca3p8qgu7g7dv9ht6,201746301,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,other1,288918859,51,1
382UZb2VHfh1yZhH2UFkHPoj1Wv9fz4CJm,3KPXAbLbu5WdtREPcYnTqNsQczD1MCJboo,4869,1,1
