source,target,value
1C1Ford5HUusymXqEQMY3TdWQtyZtsMZAW,1JTRdFUkvZ9WwDjjxb4ZRyRybz7xE4g6wX,13641
1C1Ford5HUusymXqEQMY3TdWQtyZtsMZAW,35ntT3wfipxMHqA2hCe99rD3T28twSCtpo,83214
1C1Ford5HUusymXqEQMY3TdWQtyZtsMZAW,1Pdt4U5RXkLnP7Viht5vqC8fFMhMnJPck6,90000
1JTRdFUkvZ9WwDjjxb4ZRyRybz7xE4g6wX,16JknHQfBLKtGei36stwcUaqKQA6fitUEz,37015
1JTRdFUkvZ9WwDjjxb4ZRyRybz7xE4g6wX,19fcqUmAeHQPFjKnjZALXT6NsQotjp5LN2,80000
1JTRdFUkvZ9WwDjjxb4ZRyRybz7xE4g6wX,bc1qgdtxjx5ts8fv5rc5shlw4vw9h5k7qmuskns006,796041
19fcqUmAeHQPFjKnjZALXT6NsQotjp5LN2,bc1qwl5rq3d57wjrsas3x6qkgpdh6avrx3dtx0yaal,198954
19fcqUmAeHQPFjKnjZALXT6NsQotjp5LN2,1JuJHpXvchCwMrZY9PaC2wtUe4ZwuZQ5KK,38982
