source,target,value,count,step
other0,37biYvTEcBVMoR1NGkPTGvHUuLTrzcLpiv,1555950000,1,1
other0,1JL4pucSCKRUHcQXwVPTQdKTj1PaJRP6bN,999950000,1,1
other0,other1,1400903095,40,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,14THomcXqxg6Vzg7tKTnt6EEtn5mn65i8G,37217702,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,36tRk7H5xHDhXUkCyRC8fL56fat3bWLJYe,9903409,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3BKS1Emiq2ZEiBPDVpwCafyboSjkKYgrcd,9899795,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,other1,86830356,40,1
other0,3AD3EufWwXXTiYVcuSpCi1cwjMneRS8f2e,842428,1,1
other0,3LVrfqdyfaaWfhU1t3aEQkFxeVjtZZ7Puq,3749506185,1,1
other0,31rDzhNkQKDdFJs7R1T5ALwNzzdzxPRLLY,496891578,1,1
other0,other1,201086185,16,1
other0,1ftuUgzrr5hnVzXnFBDjELvVe69rPtBRi,10000000000,1,1
other0,1KiJkugknjgW6AHXNgVQgNuo3b5DqsVFmk,9900000000,1,1
other0,3QjvBu9meuGKADuCdTtRqk21Zjvjz8uwdC,5000000000,1,1
other0,other1,7288808394,39,1
other0,3DoEUhmpoJzhGekp6ZbaD7jc9QqRwdtH4v,6753,1,1
3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,17jYrwjixjYNzv473tMmsDNehVnjQA9iZd,103020000,1,1
3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,1A6yVVsBfMTrzog8hCgDqbq9zN9gWomEer,101800000,1,1
3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,1FH7bX2vpso1w4Szjpjgka5bDqytepM5G4,100000000,1,1
3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,other1,278566261,35,1
other0,3DSe7pgSWFKiJKBqc4SonkXBoRgBppCNPi,270895262580,7,1
other0,36xMeFnTHPqhSfjydJDGeZy3iC585JvW3W,3365800000,2,1
other0,112MhqfMgNuwgbpFc7t7T97n1kE38TVMrc,2519800000,2,1
other0,other1,8105579194,30,1
other0,other1,130577492,31,1
other0,1J9v9BUAYxTcB9B72R6B8MyHxGFips56xz,16386805,1,1
other0,126T2tPpXpBh9mV2sD868yAsHsL1QLfqZf,420400,1,1
other0,1EvQBk1DVDH9Xq6cYCCG44EJFon4isdBGM,400000,1,1
other0,1AkgC4Fu46Y6NYMQUKpZvxAGHjTZNnNGgv,205506449,8,1
other0,33ZLxuGfoHPAp2wW13XmsTvqVcpRDY9BcC,16653400,1,1
other0,3K87cTbXLzKuizsszabrJ6a4oZ9wu9AMEy,14950000,1,1
other0,other1,32097984,26,1
other0,1AJbheCZ5Dha26gXvbE5i5GgozgkGgAwNv,117832,1,1
other0,1CJy76r8bMHk562hpdNNGmvQVto8c9Bora,2000000000,1,1
other0,17QyR2ixNj1AgpD5ZuXubvSJ3gPPQVcsvp,5690000000,1,1
other0,3LoeuEvZnjvw1MqhbgHNyruFUx61UgFQw4,4256800000,2,1
other0,1AQPZXa8KesX7mLwVKjL85qZPnUd8VSzBv,1958000000,1,1
other0,other1,5262710530,42,1
3Hi5VHVgmYZYfAPc9aNvQoNXyEv5rYvJQN,3HnZixnPfrJoeGer5PZ5Y2rLotjoecRtXQ,307984130,1,1
3Hi5VHVgmYZYfAPc9aNvQoNXyEv5rYvJQN,1FBFpx6ByBdoakfM2RYik8UiapkWhFNCyY,73660000,1,1
3Hi5VHVgmYZYfAPc9aNvQoNXyEv5rYvJQN,3FmA7J5fmqA9fe9var7ebQPa9Bpi2MwvH4,22954000,1,1
3Hi5VHVgmYZYfAPc9aNvQoNXyEv5rYvJQN,other1,59467783,42,1
other0,3GGWQmpvzqD2LWjriphPLD7w25E48zKZfL,903100,1,1
35zD5f5pSw83wqSr4y2meMkLtyz76F2K5E,3GCqch5CERoPQf8hpWSWUnQ6H8Vm3bYkj1,1200000000,1,1
35zD5f5pSw83wqSr4y2meMkLtyz76F2K5E,3K5hL9ww8uGEArV3babxRiHQAC2JYrRVKC,748220000,1,1
35zD5f5pSw83wqSr4y2meMkLtyz76F2K5E,32RVNFTWYGG18hztjP6sRie4QYrAZiSBPt,400000000,1,1
35zD5f5pSw83wqSr4y2meMkLtyz76F2K5E,other1,1484857180,49,1
other0,other1,130577492,31,1
other0,38yXQaw1WbrAYzUjnJ5vXs3VMp54UCZ9Lm,7832,1,1
other0,1HfwtKx7Nq3jrBDv5FWpwdjRqS4kSqRQxc,3471400000,5,1
other0,1PfaRHShKJ935z3UZh93oQzJgRnFAog93A,1913700000,4,1
other0,bc1qwn57xgvar0jlf2hvqsufqg47dmx5duj64yhnn5ptqd4279yglwpsddf2s0,1165916944,1,1
other0,other1,1658553729,26,1
3Nc22q8snRFJ8HbR55siqigMAmpeUUwqSY,37uvH6QaCWHzmqSuogNZA6cnVuRZvQJ41j,40071156843,2,1
3Nc22q8snRFJ8HbR55siqigMAmpeUUwqSY,3GCqch5CERoPQf8hpWSWUnQ6H8Vm3bYkj1,2200000000,1,1
3Nc22q8snRFJ8HbR55siqigMAmpeUUwqSY,3R26E4mE7NUJnr2YUY4tLyx7QcHqUL8SZw,1802644781,1,1
3Nc22q8snRFJ8HbR55siqigMAmpeUUwqSY,other1,2784110778,44,1
other0,3LK797f32btcjDK8abcJPgVXH9Ya9yLe5F,63788000,1,1
other0,3H1jacDdyqmdmSmBKKpv6MqjGLtB9qP9Wb,57398000,1,1
other0,3J2BsUAnoAPtL7ijjBpLbmBhnQcvGtvmHF,53904000,1,1
other0,other1,142925732,14,1
1KBr4BupGaLsaJYJTQDf73VgBGDMeaTWij,15M4SjymiqEeMr77wdn4hHec17b5g8zAjQ,3822,7,1
