source,target,value,count,step
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3LsUe3BUvLXT9tsDdWkauDX8tKnSWnCcmk,882653,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3E2adcep2NRRpriLnWn1AvW3AHKqBx2mMr,2100000000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,31mcwGCzp2QqAWjCGzfYiuyh1idghmJiD9,952538,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3KTzfKiCVVTfdvQAtUW6CMrTCD38NyWfof,150000000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3LW8zKErzQcFBAc7h9n7jPqZefAFRYNzSJ,833487,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3KJSV14ee9A48Rjf8hj8Dg2bECXMGhhJ2C,937242,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3A5U2MTzRZF4TibxURMFYRbHbUAzetR5QN,1441067,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,17Nm4zTcbFxDb1kDcsh2ZeS45EtcEiKbz6,2502255,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,39rS8mTpwR2ahWwEqJitbUBt2aSoQQdVmA,657768,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3BmDFbex6W1ifjhDGA5tG22mK9Gz4WyJHR,1717300,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,1NZraHBVCU35DqY5NMMP79F5WEuriK7zpL,2300000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3PYHSKoDNUT3ebJwCYepfP2FdEVhT93iaZ,3419110,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3B1s134pgaFWMfVhikCpuzUg7NFRp5GzrU,220000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,335Kw5NRvuybFD6NJAxKN15SsnVJvUDBpJ,9675235,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,33QzP1xyWyLVkCdwskipU35HAFKKNo4WNJ,729046,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3FLnTqeKpK8CXiEA39b77pCT85sVWJXzN5,599950000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3Hi5VHVgmYZYfAPc9aNvQoNXyEv5rYvJQN,4000000000,1,1
1HXcR4SHXJseAXhW32PwCm2Ec8UQunpWJm,3Bswk9ivr9jXLG4zj54zZj9o6Jb4ALdFBF,965690,1,1
3Qy6H6i4kwPvBiCB3GQc1JB9xeiRUxT1XJ,35zD5f5pSw83wqSr4y2meMkLtyz76F2K5E,28375895,1,1
3Qy6H6i4kwPvBiCB3GQc1JB9xeiRUxT1XJ,3CBnxE3PDLh4sfNxM7XrHWg1ahQBeiCvsm,201526,1,1
3Qy6H6i4kwPvBiCB3GQc1JB9xeiRUxT1XJ,3QBP6qsqjRZdjAEzt2qYSf1t4UsvZnKewT,11300000,1,1
3Qy6H6i4kwPvBiCB3GQc1JB9xeiRUxT1XJ,3Nc22q8snRFJ8HbR55siqigMAmpeUUwqSY,100000000,1,1
3Qy6H6i4kwPvBiCB3GQc1JB9xeiRUxT1XJ,1Q37vA5ZhQpBBYVf3V7FLm9Ge1WnDt8sh6,3716646,1,1
1GdQjiaV8Z2TTgpnJmNN2vRdhYE3uvW6hd,1KBr4BupGaLsaJYJTQDf73VgBGDMeaTWij,156011320,23,1
3FgjvTVH4fqYogFAyKdn4gw9gCvJ8e9nTR,3GcQRL9h1x57YyyxEo64WR3avCB26deHJR,2916503,1,1
3FgjvTVH4fqYogFAyKdn4gw9gCvJ8e9nTR,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,417287,1,1
3FgjvTVH4fqYogFAyKdn4gw9gCvJ8e9nTR,3JitzGThfDVBydXhHJyGFPJbBy8WUQ6rxF,5111536,1,1
3FgjvTVH4fqYogFAyKdn4gw9gCvJ8e9nTR,3PiXpW4Rs9NufsEd3h5sV3KadPX8HxNsnR,2708050,1,1
1HxyqSPButfaAmutafsMkZYfwXYt5y9MG2,1368eJN3LMC4of3EguXotZ1rEYm5wyKrbw,6496566198,1,1
17Ahxr3xeBNGW5H6yW6W48crfTRtfGoBHM,1Gi7scgt19CidGz8ZpHTrtsMUfXLS6Wt8Q,261323414,4,1
13fLCjkTAcxsBEDoRjDUSw82bNzzYHSdnB,3LQvd7CWY8fz3z5ScQerJ8oX1FB9A7Xcai,1172000,1,1
13fLCjkTAcxsBEDoRjDUSw82bNzzYHSdnB,1AztMqGRedCJB5HPicdpnmxH69AciBiS2D,1516856,4,1
13fLCjkTAcxsBEDoRjDUSw82bNzzYHSdnB,181uEDAJdX3XH2VGGoiERaaZYdof5yv3PQ,5280824,1,1
13fLCjkTAcxsBEDoRjDUSw82bNzzYHSdnB,1JMeE5qraC2NuzXTm5AhysZCxqmqGPJrTu,1791932,1,1
